Sample_ID,Soil_Weight_g,Copy_No_16S_copies_per_uL,CV_AbsQuant_16S,Total_Copies,Corrected_Copies,Copies_per_Gram_Soil
22001612560936,0.2581,73558170,0.11,"8,826,980,400","18,188,929,296","70,472,411,065"
22001612562123,0.075,15861061,0.19,"1,903,327,320","3,922,007,808","52,293,437,441"
22001612561369,0.2478,89249675,0.07,"10,709,961,000","22,069,010,529","89,059,768,077"
22001612562325,0.2424,68157596,0.09,"8,178,911,520","16,853,514,635","69,527,700,640"
22001612561012,0.2595,41291763,0.07,"4,955,011,560","10,210,326,843","39,346,153,539"
22001612560484,0.1894,73508873,0.07,"8,821,064,760","18,176,739,492","95,970,113,475"
22001612561810,0.2616,47775892,0.24,"5,733,107,040","11,813,675,104","45,159,308,502"
22001612560705,0.2646,32418815,0.07,"3,890,257,800","8,016,288,794","30,295,876,017"
22001612562605,0.2457,38534753,0.15,"4,624,170,360","9,528,593,462","38,781,414,172"
22001612560976,0.2535,49634051,0.09,"5,956,086,120","12,273,147,147","48,414,781,647"
22001612562589,0.2366,86776770,0.09,"10,413,212,400","21,457,528,566","90,691,160,466"
22001612562031,0.1072,109932250,0.04,"13,191,870,000","27,183,247,253","253,575,067,658"
22001612561911,0.2785,165100007,0.12,"19,812,000,840","40,824,728,974","146,587,895,777"
22001612561644,0.2647,60237373,0.20,"7,228,484,760","14,895,059,495","56,271,475,235"
22001612560154,0.2577,129124648,0.11,"15,494,957,760","31,929,003,846","123,899,898,509"
22001612560982,0.2649,195965449,0.10,"23,515,853,880","48,456,910,990","182,925,296,301"
22001612560701,0.2369,155110571,0.07,"18,613,268,520","38,354,613,892","161,902,127,025"
22001612561219,0.2586,113092643,0.07,"13,571,117,160","27,964,726,249","108,138,925,943"
22001612560908,0.2517,65298263,0.05,"7,835,791,560","16,146,479,566","64,149,700,304"
22001612561749,0.262,273675405,0.11,"32,841,048,600","67,672,463,733","258,291,846,308"
22001612560719,0.2816,134049365,0.11,"16,085,923,800","33,146,752,049","117,708,636,536"
22001612560572,0.2402,141526867,0.10,"16,983,224,040","34,995,734,360","145,694,148,043"
22001612560541,0.2603,39877318,0.11,"4,785,278,160","9,860,573,171","37,881,571,921"
22001612560567,0.2243,45185889,0.05,"5,422,306,680","11,173,237,999","49,813,811,855"
22001612561191,0.2571,129233527,0.16,"15,508,023,240","31,955,926,653","124,293,763,723"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,