domain,phylum,reads,sample
Bacteria,Bacteroidetes,1413820,22001612560936
Bacteria,Chlorobi,154,22001612560936
Bacteria,Ignavibacteriae,24,22001612560936
Bacteria,Fibrobacteres,53,22001612560936
Bacteria,Gemmatimonadetes,43,22001612560936
Bacteria,Firmicutes,642642,22001612560936
Bacteria,Actinobacteria,36563,22001612560936
Bacteria,Cyanobacteria,829,22001612560936
Bacteria,Deinococcus-Thermus,341,22001612560936
Bacteria,Tenericutes,313,22001612560936
Bacteria,Chloroflexi,226,22001612560936
Bacteria,Armatimonadetes,24,22001612560936
Bacteria,Proteobacteria,22647,22001612560936
Bacteria,Verrucomicrobia,813,22001612560936
Bacteria,Planctomycetes,809,22001612560936
Bacteria,Chlamydiae,74,22001612560936
Bacteria,Lentisphaerae,15,22001612560936
Bacteria,Kiritimatiellaeota,17,22001612560936
Bacteria,Spirochaetes,638,22001612560936
Bacteria,Fusobacteria,415,22001612560936
Bacteria,Acidobacteria,191,22001612560936
Bacteria,Synergistetes,153,22001612560936
Bacteria,Thermotogae,142,22001612560936
Bacteria,Nitrospirae,67,22001612560936
Bacteria,Aquificae,58,22001612560936
Bacteria,Candidatus Saccharibacteria,50,22001612560936
Bacteria,Deferribacteres,40,22001612560936
Bacteria,Calditrichaeota,29,22001612560936
Bacteria,Thermodesulfobacteria,22,22001612560936
Bacteria,Elusimicrobia,17,22001612560936
Bacteria,Chrysiogenetes,11,22001612560936
Metazoa,Chordata,2171,22001612560936
Archaea,Euryarchaeota,754,22001612560936
Archaea,Crenarchaeota,47,22001612560936
Archaea,Thaumarchaeota,93,22001612560936
Bacteria,Firmicutes,747265,22001612560719
Bacteria,Actinobacteria,58912,22001612560719
Bacteria,Cyanobacteria,1210,22001612560719
Bacteria,Tenericutes,503,22001612560719
Bacteria,Deinococcus-Thermus,501,22001612560719
Bacteria,Chloroflexi,399,22001612560719
Bacteria,Armatimonadetes,49,22001612560719
Bacteria,Bacteroidetes,334795,22001612560719
Bacteria,Chlorobi,233,22001612560719
Bacteria,Ignavibacteriae,47,22001612560719
Bacteria,Balneolaeota,23,22001612560719
Bacteria,Fibrobacteres,80,22001612560719
Bacteria,Gemmatimonadetes,62,22001612560719
Bacteria,Proteobacteria,35896,22001612560719
Bacteria,Verrucomicrobia,1505,22001612560719
Bacteria,Planctomycetes,1051,22001612560719
Bacteria,Chlamydiae,61,22001612560719
Bacteria,Lentisphaerae,56,22001612560719
Bacteria,Kiritimatiellaeota,19,22001612560719
Bacteria,Spirochaetes,903,22001612560719
Bacteria,Fusobacteria,638,22001612560719
Bacteria,Acidobacteria,235,22001612560719
Bacteria,Thermotogae,219,22001612560719
Bacteria,Synergistetes,184,22001612560719
Bacteria,Aquificae,81,22001612560719
Bacteria,Deferribacteres,81,22001612560719
Bacteria,Nitrospirae,78,22001612560719
Bacteria,Candidatus Saccharibacteria,55,22001612560719
Bacteria,Candidatus Gracilibacteria,16,22001612560719
Bacteria,Elusimicrobia,39,22001612560719
Bacteria,Thermodesulfobacteria,33,22001612560719
Bacteria,Dictyoglomi,22,22001612560719
Bacteria,Calditrichaeota,17,22001612560719
Bacteria,Chrysiogenetes,14,22001612560719
Bacteria,Coprothermobacterota,10,22001612560719
Metazoa,Chordata,2688,22001612560719
Archaea,Euryarchaeota,982,22001612560719
Archaea,Crenarchaeota,60,22001612560719
Archaea,Thaumarchaeota,57,22001612560719
Viruses,Negarnaviricota,62,22001612560719
Bacteria,Firmicutes,745219,22001612560484
Bacteria,Actinobacteria,37411,22001612560484
Bacteria,Cyanobacteria,1601,22001612560484
Bacteria,Deinococcus-Thermus,760,22001612560484
Bacteria,Tenericutes,746,22001612560484
Bacteria,Chloroflexi,655,22001612560484
Bacteria,Armatimonadetes,109,22001612560484
Bacteria,Bacteroidetes,294891,22001612560484
Bacteria,Chlorobi,372,22001612560484
Bacteria,Ignavibacteriae,44,22001612560484
Bacteria,Balneolaeota,31,22001612560484
Bacteria,Gemmatimonadetes,113,22001612560484
Bacteria,Fibrobacteres,70,22001612560484
Bacteria,Candidatus Cloacimonetes,22,22001612560484
Bacteria,Proteobacteria,57393,22001612560484
Bacteria,Verrucomicrobia,7426,22001612560484
Bacteria,Lentisphaerae,4386,22001612560484
Bacteria,Planctomycetes,1755,22001612560484
Bacteria,Chlamydiae,92,22001612560484
Bacteria,Kiritimatiellaeota,40,22001612560484
Bacteria,Synergistetes,4006,22001612560484
Bacteria,Spirochaetes,1223,22001612560484
Bacteria,Fusobacteria,806,22001612560484
Bacteria,Acidobacteria,381,22001612560484
Bacteria,Thermotogae,271,22001612560484
Bacteria,Nitrospirae,124,22001612560484
Bacteria,Aquificae,98,22001612560484
Bacteria,Candidatus Saccharibacteria,59,22001612560484
Bacteria,Candidatus Bipolaricaulota,18,22001612560484
Bacteria,Deferribacteres,63,22001612560484
Bacteria,Calditrichaeota,40,22001612560484
Bacteria,Elusimicrobia,39,22001612560484
Bacteria,Thermodesulfobacteria,32,22001612560484
Bacteria,Dictyoglomi,20,22001612560484
Bacteria,Chrysiogenetes,21,22001612560484
Archaea,Euryarchaeota,4949,22001612560484
Archaea,Crenarchaeota,92,22001612560484
Archaea,Thaumarchaeota,68,22001612560484
Metazoa,Chordata,3728,22001612560484
Bacteria,Bacteroidetes,932581,22001612562031
Bacteria,Chlorobi,222,22001612562031
Bacteria,Ignavibacteriae,61,22001612562031
Bacteria,Balneolaeota,18,22001612562031
Bacteria,Gemmatimonadetes,53,22001612562031
Bacteria,Fibrobacteres,33,22001612562031
Bacteria,Firmicutes,652139,22001612562031
Bacteria,Actinobacteria,99086,22001612562031
Bacteria,Cyanobacteria,903,22001612562031
Bacteria,Chloroflexi,551,22001612562031
Bacteria,Deinococcus-Thermus,362,22001612562031
Bacteria,Tenericutes,287,22001612562031
Bacteria,Armatimonadetes,45,22001612562031
Bacteria,Proteobacteria,58086,22001612562031
Bacteria,Planctomycetes,921,22001612562031
Bacteria,Verrucomicrobia,611,22001612562031
Bacteria,Chlamydiae,60,22001612562031
Bacteria,Lentisphaerae,51,22001612562031
Bacteria,Kiritimatiellaeota,12,22001612562031
Bacteria,Spirochaetes,809,22001612562031
Bacteria,Fusobacteria,466,22001612562031
Bacteria,Acidobacteria,191,22001612562031
Bacteria,Synergistetes,155,22001612562031
Bacteria,Thermotogae,146,22001612562031
Bacteria,Aquificae,91,22001612562031
Bacteria,Nitrospirae,74,22001612562031
Bacteria,Deferribacteres,47,22001612562031
Bacteria,Candidatus Saccharibacteria,33,22001612562031
Bacteria,Thermodesulfobacteria,32,22001612562031
Bacteria,Elusimicrobia,28,22001612562031
Bacteria,Chrysiogenetes,16,22001612562031
Bacteria,Dictyoglomi,14,22001612562031
Bacteria,Calditrichaeota,13,22001612562031
Archaea,Crenarchaeota,59,22001612562031
Archaea,Thaumarchaeota,10895,22001612562031
Archaea,Euryarchaeota,817,22001612562031
Metazoa,Chordata,2059,22001612562031
Bacteria,Bacteroidetes,1287514,22001612561369
Bacteria,Chlorobi,162,22001612561369
Bacteria,Ignavibacteriae,11,22001612561369
Bacteria,Balneolaeota,12,22001612561369
Bacteria,Gemmatimonadetes,18,22001612561369
Bacteria,Fibrobacteres,14,22001612561369
Bacteria,Firmicutes,666605,22001612561369
Bacteria,Actinobacteria,15749,22001612561369
Bacteria,Cyanobacteria,566,22001612561369
Bacteria,Tenericutes,194,22001612561369
Bacteria,Chloroflexi,174,22001612561369
Bacteria,Deinococcus-Thermus,169,22001612561369
Bacteria,Armatimonadetes,19,22001612561369
Bacteria,Proteobacteria,15396,22001612561369
Bacteria,Verrucomicrobia,4613,22001612561369
Bacteria,Planctomycetes,441,22001612561369
Bacteria,Chlamydiae,30,22001612561369
Bacteria,Lentisphaerae,22,22001612561369
Bacteria,Spirochaetes,491,22001612561369
Bacteria,Fusobacteria,413,22001612561369
Bacteria,Thermotogae,105,22001612561369
Bacteria,Acidobacteria,87,22001612561369
Bacteria,Synergistetes,78,22001612561369
Bacteria,Aquificae,46,22001612561369
Bacteria,Nitrospirae,33,22001612561369
Bacteria,Deferribacteres,24,22001612561369
Bacteria,Candidatus Saccharibacteria,23,22001612561369
Bacteria,Elusimicrobia,20,22001612561369
Bacteria,Calditrichaeota,13,22001612561369
Bacteria,Thermodesulfobacteria,13,22001612561369
Archaea,Crenarchaeota,45,22001612561369
Archaea,Thaumarchaeota,2995,22001612561369
Archaea,Euryarchaeota,479,22001612561369
Metazoa,Chordata,1776,22001612561369
Bacteria,Firmicutes,796522,22001612561911
Bacteria,Actinobacteria,40193,22001612561911
Bacteria,Cyanobacteria,1348,22001612561911
Bacteria,Tenericutes,727,22001612561911
Bacteria,Deinococcus-Thermus,658,22001612561911
Bacteria,Chloroflexi,528,22001612561911
Bacteria,Armatimonadetes,73,22001612561911
Bacteria,Bacteroidetes,575676,22001612561911
Bacteria,Chlorobi,311,22001612561911
Bacteria,Ignavibacteriae,63,22001612561911
Bacteria,Balneolaeota,20,22001612561911
Bacteria,Gemmatimonadetes,90,22001612561911
Bacteria,Fibrobacteres,60,22001612561911
Bacteria,Candidatus Cloacimonetes,11,22001612561911
Bacteria,Proteobacteria,46450,22001612561911
Bacteria,Verrucomicrobia,17244,22001612561911
Bacteria,Planctomycetes,1382,22001612561911
Bacteria,Lentisphaerae,99,22001612561911
Bacteria,Chlamydiae,62,22001612561911
Bacteria,Kiritimatiellaeota,44,22001612561911
Bacteria,Spirochaetes,1191,22001612561911
Bacteria,Fusobacteria,640,22001612561911
Bacteria,Synergistetes,343,22001612561911
Bacteria,Acidobacteria,303,22001612561911
Bacteria,Thermotogae,244,22001612561911
Bacteria,Aquificae,129,22001612561911
Bacteria,Nitrospirae,106,22001612561911
Bacteria,Deferribacteres,98,22001612561911
Bacteria,Candidatus Saccharibacteria,40,22001612561911
Bacteria,Candidatus Bipolaricaulota,12,22001612561911
Bacteria,Elusimicrobia,45,22001612561911
Bacteria,Dictyoglomi,37,22001612561911
Bacteria,Thermodesulfobacteria,33,22001612561911
Bacteria,Calditrichaeota,24,22001612561911
Bacteria,Chrysiogenetes,16,22001612561911
Archaea,Euryarchaeota,2623,22001612561911
Archaea,Crenarchaeota,78,22001612561911
Archaea,Thaumarchaeota,264,22001612561911
Metazoa,Chordata,2877,22001612561911
Bacteria,Bacteroidetes,1646528,22001612560705
Bacteria,Chlorobi,75,22001612560705
Bacteria,Ignavibacteriae,16,22001612560705
Bacteria,Gemmatimonadetes,15,22001612560705
Bacteria,Candidatus Cloacimonetes,11,22001612560705
Bacteria,Fibrobacteres,11,22001612560705
Bacteria,Firmicutes,433477,22001612560705
Bacteria,Actinobacteria,8565,22001612560705
Bacteria,Cyanobacteria,503,22001612560705
Bacteria,Tenericutes,243,22001612560705
Bacteria,Deinococcus-Thermus,164,22001612560705
Bacteria,Chloroflexi,121,22001612560705
Bacteria,Armatimonadetes,15,22001612560705
Bacteria,Proteobacteria,31441,22001612560705
Bacteria,Fusobacteria,25154,22001612560705
Bacteria,Verrucomicrobia,16458,22001612560705
Bacteria,Planctomycetes,285,22001612560705
Bacteria,Chlamydiae,33,22001612560705
Bacteria,Lentisphaerae,25,22001612560705
Bacteria,Spirochaetes,382,22001612560705
Bacteria,Synergistetes,75,22001612560705
Bacteria,Thermotogae,72,22001612560705
Bacteria,Acidobacteria,55,22001612560705
Bacteria,Deferribacteres,43,22001612560705
Bacteria,Nitrospirae,37,22001612560705
Bacteria,Aquificae,30,22001612560705
Bacteria,Dictyoglomi,24,22001612560705
Bacteria,Elusimicrobia,10,22001612560705
Metazoa,Chordata,486758,22001612560705
Archaea,Euryarchaeota,368,22001612560705
Archaea,Crenarchaeota,56,22001612560705
Archaea,Thaumarchaeota,97,22001612560705
Bacteria,Bacteroidetes,1294223,22001612560567
Bacteria,Chlorobi,119,22001612560567
Bacteria,Ignavibacteriae,33,22001612560567
Bacteria,Balneolaeota,16,22001612560567
Bacteria,Fibrobacteres,37,22001612560567
Bacteria,Gemmatimonadetes,14,22001612560567
Bacteria,Candidatus Cloacimonetes,11,22001612560567
Bacteria,Firmicutes,623922,22001612560567
Bacteria,Actinobacteria,21822,22001612560567
Bacteria,Cyanobacteria,721,22001612560567
Bacteria,Tenericutes,336,22001612560567
Bacteria,Deinococcus-Thermus,179,22001612560567
Bacteria,Chloroflexi,148,22001612560567
Bacteria,Armatimonadetes,15,22001612560567
Bacteria,Proteobacteria,30938,22001612560567
Bacteria,Planctomycetes,430,22001612560567
Bacteria,Verrucomicrobia,225,22001612560567
Bacteria,Chlamydiae,49,22001612560567
Bacteria,Lentisphaerae,23,22001612560567
Bacteria,Fusobacteria,597,22001612560567
Bacteria,Spirochaetes,551,22001612560567
Bacteria,Thermotogae,131,22001612560567
Bacteria,Acidobacteria,101,22001612560567
Bacteria,Synergistetes,100,22001612560567
Bacteria,Aquificae,57,22001612560567
Bacteria,Nitrospirae,40,22001612560567
Bacteria,Deferribacteres,30,22001612560567
Bacteria,Elusimicrobia,30,22001612560567
Bacteria,Thermodesulfobacteria,27,22001612560567
Bacteria,Candidatus Saccharibacteria,25,22001612560567
Bacteria,Caldiserica,14,22001612560567
Bacteria,Calditrichaeota,12,22001612560567
Bacteria,Dictyoglomi,10,22001612560567
Bacteria,Chrysiogenetes,10,22001612560567
Metazoa,Chordata,4026,22001612560567
Archaea,Euryarchaeota,556,22001612560567
Archaea,Crenarchaeota,61,22001612560567
Archaea,Thaumarchaeota,34,22001612560567
Bacteria,Firmicutes,505661,22001612560572
Bacteria,Actinobacteria,79956,22001612560572
Bacteria,Cyanobacteria,1036,22001612560572
Bacteria,Deinococcus-Thermus,543,22001612560572
Bacteria,Chloroflexi,516,22001612560572
Bacteria,Tenericutes,390,22001612560572
Bacteria,Armatimonadetes,45,22001612560572
Bacteria,Bacteroidetes,561794,22001612560572
Bacteria,Chlorobi,234,22001612560572
Bacteria,Ignavibacteriae,43,22001612560572
Bacteria,Balneolaeota,22,22001612560572
Bacteria,Fibrobacteres,64,22001612560572
Bacteria,Gemmatimonadetes,58,22001612560572
Bacteria,Candidatus Cloacimonetes,12,22001612560572
Bacteria,Proteobacteria,43290,22001612560572
Bacteria,Verrucomicrobia,25257,22001612560572
Bacteria,Planctomycetes,1119,22001612560572
Bacteria,Lentisphaerae,80,22001612560572
Bacteria,Chlamydiae,53,22001612560572
Bacteria,Kiritimatiellaeota,19,22001612560572
Bacteria,Spirochaetes,864,22001612560572
Bacteria,Fusobacteria,452,22001612560572
Bacteria,Acidobacteria,259,22001612560572
Bacteria,Synergistetes,238,22001612560572
Bacteria,Thermotogae,206,22001612560572
Bacteria,Aquificae,106,22001612560572
Bacteria,Nitrospirae,88,22001612560572
Bacteria,Deferribacteres,56,22001612560572
Bacteria,Candidatus Saccharibacteria,39,22001612560572
Bacteria,Candidatus Bipolaricaulota,11,22001612560572
Bacteria,Thermodesulfobacteria,31,22001612560572
Bacteria,Elusimicrobia,31,22001612560572
Bacteria,Chrysiogenetes,20,22001612560572
Bacteria,Dictyoglomi,19,22001612560572
Bacteria,Coprothermobacterota,13,22001612560572
Bacteria,Calditrichaeota,12,22001612560572
Archaea,Euryarchaeota,2852,22001612560572
Archaea,Crenarchaeota,69,22001612560572
Archaea,Thaumarchaeota,38,22001612560572
Metazoa,Chordata,2118,22001612560572
Bacteria,Bacteroidetes,1221539,22001612561644
Bacteria,Chlorobi,110,22001612561644
Bacteria,Ignavibacteriae,21,22001612561644
Bacteria,Balneolaeota,27,22001612561644
Bacteria,Gemmatimonadetes,34,22001612561644
Bacteria,Fibrobacteres,31,22001612561644
Bacteria,Firmicutes,441311,22001612561644
Bacteria,Actinobacteria,30440,22001612561644
Bacteria,Cyanobacteria,329,22001612561644
Bacteria,Deinococcus-Thermus,158,22001612561644
Bacteria,Chloroflexi,150,22001612561644
Bacteria,Tenericutes,132,22001612561644
Bacteria,Proteobacteria,27573,22001612561644
Bacteria,Verrucomicrobia,618,22001612561644
Bacteria,Planctomycetes,335,22001612561644
Bacteria,Lentisphaerae,199,22001612561644
Bacteria,Chlamydiae,17,22001612561644
Bacteria,Spirochaetes,303,22001612561644
Bacteria,Fusobacteria,233,22001612561644
Bacteria,Acidobacteria,78,22001612561644
Bacteria,Synergistetes,65,22001612561644
Bacteria,Candidatus Saccharibacteria,29,22001612561644
Bacteria,Candidatus Bipolaricaulota,20,22001612561644
Bacteria,Nitrospirae,24,22001612561644
Bacteria,Thermotogae,23,22001612561644
Bacteria,Deferribacteres,21,22001612561644
Bacteria,Aquificae,15,22001612561644
Metazoa,Chordata,457,22001612561644
Archaea,Euryarchaeota,201,22001612561644
Archaea,Crenarchaeota,10,22001612561644
Bacteria,Bacteroidetes,904138,22001612562605
Bacteria,Chlorobi,213,22001612562605
Bacteria,Ignavibacteriae,45,22001612562605
Bacteria,Balneolaeota,42,22001612562605
Bacteria,Gemmatimonadetes,47,22001612562605
Bacteria,Fibrobacteres,23,22001612562605
Bacteria,Firmicutes,289196,22001612562605
Bacteria,Actinobacteria,33833,22001612562605
Bacteria,Cyanobacteria,770,22001612562605
Bacteria,Tenericutes,385,22001612562605
Bacteria,Deinococcus-Thermus,236,22001612562605
Bacteria,Chloroflexi,178,22001612562605
Bacteria,Armatimonadetes,24,22001612562605
Bacteria,Proteobacteria,33050,22001612562605
Bacteria,Verrucomicrobia,9646,22001612562605
Bacteria,Planctomycetes,646,22001612562605
Bacteria,Lentisphaerae,45,22001612562605
Bacteria,Chlamydiae,19,22001612562605
Bacteria,Kiritimatiellaeota,11,22001612562605
Bacteria,Fusobacteria,4939,22001612562605
Bacteria,Spirochaetes,579,22001612562605
Bacteria,Acidobacteria,115,22001612562605
Bacteria,Thermotogae,116,22001612562605
Bacteria,Synergistetes,73,22001612562605
Bacteria,Aquificae,65,22001612562605
Bacteria,Deferribacteres,50,22001612562605
Bacteria,Candidatus Saccharibacteria,35,22001612562605
Bacteria,Nitrospirae,33,22001612562605
Bacteria,Elusimicrobia,32,22001612562605
Bacteria,Thermodesulfobacteria,23,22001612562605
Archaea,Crenarchaeota,52,22001612562605
Archaea,Thaumarchaeota,134172,22001612562605
Archaea,Euryarchaeota,639,22001612562605
Metazoa,Chordata,1661,22001612562605
Bacteria,Firmicutes,580023,22001612560701
Bacteria,Actinobacteria,137764,22001612560701
Bacteria,Cyanobacteria,1158,22001612560701
Bacteria,Deinococcus-Thermus,638,22001612560701
Bacteria,Tenericutes,467,22001612560701
Bacteria,Chloroflexi,442,22001612560701
Bacteria,Armatimonadetes,61,22001612560701
Bacteria,Bacteroidetes,501807,22001612560701
Bacteria,Chlorobi,269,22001612560701
Bacteria,Ignavibacteriae,60,22001612560701
Bacteria,Balneolaeota,30,22001612560701
Bacteria,Fibrobacteres,84,22001612560701
Bacteria,Gemmatimonadetes,70,22001612560701
Bacteria,Verrucomicrobia,53668,22001612560701
Bacteria,Planctomycetes,1295,22001612560701
Bacteria,Lentisphaerae,241,22001612560701
Bacteria,Chlamydiae,55,22001612560701
Bacteria,Kiritimatiellaeota,35,22001612560701
Bacteria,Proteobacteria,42107,22001612560701
Bacteria,Spirochaetes,917,22001612560701
Bacteria,Fusobacteria,548,22001612560701
Bacteria,Acidobacteria,242,22001612560701
Bacteria,Synergistetes,228,22001612560701
Bacteria,Thermotogae,184,22001612560701
Bacteria,Nitrospirae,96,22001612560701
Bacteria,Aquificae,79,22001612560701
Bacteria,Deferribacteres,59,22001612560701
Bacteria,Candidatus Saccharibacteria,48,22001612560701
Bacteria,Elusimicrobia,45,22001612560701
Bacteria,Thermodesulfobacteria,28,22001612560701
Bacteria,Chrysiogenetes,21,22001612560701
Bacteria,Calditrichaeota,16,22001612560701
Bacteria,Dictyoglomi,13,22001612560701
Bacteria,Coprothermobacterota,10,22001612560701
Archaea,Euryarchaeota,2809,22001612560701
Archaea,Crenarchaeota,85,22001612560701
Archaea,Thaumarchaeota,55,22001612560701
Metazoa,Chordata,2033,22001612560701
Bacteria,Bacteroidetes,1208785,22001612561012
Bacteria,Chlorobi,74,22001612561012
Bacteria,Ignavibacteriae,16,22001612561012
Bacteria,Balneolaeota,11,22001612561012
Bacteria,Fibrobacteres,28,22001612561012
Bacteria,Gemmatimonadetes,24,22001612561012
Bacteria,Firmicutes,959974,22001612561012
Bacteria,Actinobacteria,101958,22001612561012
Bacteria,Cyanobacteria,605,22001612561012
Bacteria,Tenericutes,545,22001612561012
Bacteria,Deinococcus-Thermus,223,22001612561012
Bacteria,Chloroflexi,145,22001612561012
Bacteria,Armatimonadetes,12,22001612561012
