domain,phylum,reads,sample
Bacteria,Proteobacteria,294974,22001612561012
Bacteria,Fusobacteria,1005,22001612561012
Bacteria,Planctomycetes,502,22001612561012
Bacteria,Verrucomicrobia,322,22001612561012
Bacteria,Chlamydiae,25,22001612561012
Bacteria,Lentisphaerae,17,22001612561012
Bacteria,Kiritimatiellaeota,17,22001612561012
Bacteria,Spirochaetes,514,22001612561012
Bacteria,Candidatus Saccharibacteria,170,22001612561012
Bacteria,Candidatus Bipolaricaulota,10,22001612561012
Bacteria,Thermotogae,121,22001612561012
Bacteria,Acidobacteria,95,22001612561012
Bacteria,Synergistetes,79,22001612561012
Bacteria,Nitrospirae,50,22001612561012
Bacteria,Aquificae,39,22001612561012
Bacteria,Deferribacteres,17,22001612561012
Bacteria,Elusimicrobia,15,22001612561012
Metazoa,Chordata,9141,22001612561012
Archaea,Euryarchaeota,406,22001612561012
Archaea,Crenarchaeota,32,22001612561012
Archaea,Thaumarchaeota,123,22001612561012
Bacteria,Bacteroidetes,1268813,22001612562325
Bacteria,Chlorobi,185,22001612562325
Bacteria,Ignavibacteriae,112,22001612562325
Bacteria,Balneolaeota,47,22001612562325
Bacteria,Fibrobacteres,60,22001612562325
Bacteria,Gemmatimonadetes,50,22001612562325
Bacteria,Firmicutes,470916,22001612562325
Bacteria,Actinobacteria,20756,22001612562325
Bacteria,Cyanobacteria,1170,22001612562325
Bacteria,Tenericutes,452,22001612562325
Bacteria,Deinococcus-Thermus,359,22001612562325
Bacteria,Chloroflexi,308,22001612562325
Bacteria,Armatimonadetes,71,22001612562325
Bacteria,Proteobacteria,38252,22001612562325
Bacteria,Planctomycetes,887,22001612562325
Bacteria,Verrucomicrobia,408,22001612562325
Bacteria,Chlamydiae,64,22001612562325
Bacteria,Lentisphaerae,41,22001612562325
Bacteria,Spirochaetes,1077,22001612562325
Bacteria,Fusobacteria,559,22001612562325
Bacteria,Thermotogae,218,22001612562325
Bacteria,Acidobacteria,181,22001612562325
Bacteria,Synergistetes,157,22001612562325
Bacteria,Aquificae,134,22001612562325
Bacteria,Candidatus Saccharibacteria,51,22001612562325
Bacteria,Candidatus Gracilibacteria,20,22001612562325
Bacteria,Candidatus Bipolaricaulota,19,22001612562325
Bacteria,Nitrospirae,71,22001612562325
Bacteria,Elusimicrobia,56,22001612562325
Bacteria,Calditrichaeota,53,22001612562325
Bacteria,Deferribacteres,51,22001612562325
Bacteria,Thermodesulfobacteria,32,22001612562325
Bacteria,Chrysiogenetes,22,22001612562325
Bacteria,Coprothermobacterota,21,22001612562325
Bacteria,Dictyoglomi,13,22001612562325
Archaea,Crenarchaeota,73,22001612562325
Archaea,Thaumarchaeota,35009,22001612562325
Archaea,Euryarchaeota,834,22001612562325
Metazoa,Chordata,3365,22001612562325
Viruses,Negarnaviricota,42,22001612562325
Bacteria,Bacteroidetes,865134,22001612560541
Bacteria,Chlorobi,104,22001612560541
Bacteria,Balneolaeota,28,22001612560541
Bacteria,Ignavibacteriae,10,22001612560541
Bacteria,Fibrobacteres,24,22001612560541
Bacteria,Firmicutes,148179,22001612560541
Bacteria,Actinobacteria,2666,22001612560541
Bacteria,Cyanobacteria,257,22001612560541
Bacteria,Deinococcus-Thermus,108,22001612560541
Bacteria,Chloroflexi,95,22001612560541
Bacteria,Tenericutes,65,22001612560541
Bacteria,Proteobacteria,37929,22001612560541
Bacteria,Planctomycetes,295,22001612560541
Bacteria,Verrucomicrobia,201,22001612560541
Bacteria,Kiritimatiellaeota,16,22001612560541
Bacteria,Chlamydiae,13,22001612560541
Bacteria,Spirochaetes,223,22001612560541
Bacteria,Fusobacteria,92,22001612560541
Bacteria,Acidobacteria,68,22001612560541
Bacteria,Thermotogae,95,22001612560541
Bacteria,Synergistetes,32,22001612560541
Bacteria,Nitrospirae,27,22001612560541
Bacteria,Aquificae,25,22001612560541
Bacteria,Deferribacteres,15,22001612560541
Metazoa,Chordata,525,22001612560541
Archaea,Euryarchaeota,126,22001612560541
Archaea,Crenarchaeota,19,22001612560541
Bacteria,Firmicutes,424114,22001612561191
Bacteria,Actinobacteria,47325,22001612561191
Bacteria,Cyanobacteria,1555,22001612561191
Bacteria,Deinococcus-Thermus,617,22001612561191
Bacteria,Tenericutes,461,22001612561191
Bacteria,Chloroflexi,444,22001612561191
Bacteria,Armatimonadetes,86,22001612561191
Bacteria,Bacteroidetes,398687,22001612561191
Bacteria,Chlorobi,468,22001612561191
Bacteria,Ignavibacteriae,39,22001612561191
Bacteria,Balneolaeota,39,22001612561191
Bacteria,Fibrobacteres,131,22001612561191
Bacteria,Gemmatimonadetes,103,22001612561191
Bacteria,Candidatus Cloacimonetes,100,22001612561191
Bacteria,Proteobacteria,45675,22001612561191
Bacteria,Lentisphaerae,3926,22001612561191
Bacteria,Planctomycetes,1559,22001612561191
Bacteria,Verrucomicrobia,688,22001612561191
Bacteria,Chlamydiae,67,22001612561191
Bacteria,Kiritimatiellaeota,13,22001612561191
Bacteria,Spirochaetes,1106,22001612561191
Bacteria,Fusobacteria,498,22001612561191
Bacteria,Acidobacteria,314,22001612561191
Bacteria,Thermotogae,264,22001612561191
Bacteria,Synergistetes,197,22001612561191
Bacteria,Deferribacteres,128,22001612561191
Bacteria,Aquificae,112,22001612561191
Bacteria,Nitrospirae,87,22001612561191
Bacteria,Candidatus Saccharibacteria,55,22001612561191
Bacteria,Calditrichaeota,49,22001612561191
Bacteria,Elusimicrobia,39,22001612561191
Bacteria,Chrysiogenetes,29,22001612561191
Bacteria,Thermodesulfobacteria,24,22001612561191
Metazoa,Chordata,6825,22001612561191
Archaea,Euryarchaeota,1572,22001612561191
Archaea,Crenarchaeota,75,22001612561191
Archaea,Thaumarchaeota,202,22001612561191
Bacteria,Firmicutes,1002470,22001612561749
Bacteria,Actinobacteria,60435,22001612561749
Bacteria,Cyanobacteria,1303,22001612561749
Bacteria,Deinococcus-Thermus,679,22001612561749
Bacteria,Chloroflexi,509,22001612561749
Bacteria,Tenericutes,453,22001612561749
Bacteria,Armatimonadetes,67,22001612561749
Bacteria,Bacteroidetes,471229,22001612561749
Bacteria,Chlorobi,286,22001612561749
Bacteria,Ignavibacteriae,66,22001612561749
Bacteria,Balneolaeota,31,22001612561749
Bacteria,Fibrobacteres,92,22001612561749
Bacteria,Gemmatimonadetes,75,22001612561749
Bacteria,Candidatus Cloacimonetes,16,22001612561749
Bacteria,Proteobacteria,46801,22001612561749
Bacteria,Verrucomicrobia,1341,22001612561749
Bacteria,Planctomycetes,1298,22001612561749
Bacteria,Lentisphaerae,798,22001612561749
Bacteria,Chlamydiae,74,22001612561749
Bacteria,Kiritimatiellaeota,46,22001612561749
Bacteria,Spirochaetes,953,22001612561749
Bacteria,Fusobacteria,738,22001612561749
Bacteria,Acidobacteria,347,22001612561749
Bacteria,Synergistetes,333,22001612561749
Bacteria,Thermotogae,211,22001612561749
Bacteria,Nitrospirae,133,22001612561749
Bacteria,Aquificae,110,22001612561749
Bacteria,Candidatus Saccharibacteria,50,22001612561749
Bacteria,Candidatus Bipolaricaulota,20,22001612561749
Bacteria,Deferribacteres,59,22001612561749
Bacteria,Elusimicrobia,44,22001612561749
Bacteria,Chrysiogenetes,24,22001612561749
Bacteria,Calditrichaeota,22,22001612561749
Bacteria,Thermodesulfobacteria,21,22001612561749
Bacteria,Dictyoglomi,11,22001612561749
Metazoa,Chordata,2152,22001612561749
Archaea,Euryarchaeota,1412,22001612561749
Archaea,Crenarchaeota,97,22001612561749
Archaea,Thaumarchaeota,52,22001612561749
Viruses,Negarnaviricota,95,22001612561749
Bacteria,Firmicutes,532959,22001612560982
Bacteria,Actinobacteria,26303,22001612560982
Bacteria,Cyanobacteria,1170,22001612560982
Bacteria,Tenericutes,570,22001612560982
Bacteria,Deinococcus-Thermus,482,22001612560982
Bacteria,Chloroflexi,386,22001612560982
Bacteria,Armatimonadetes,39,22001612560982
Bacteria,Bacteroidetes,460398,22001612560982
Bacteria,Chlorobi,221,22001612560982
Bacteria,Ignavibacteriae,46,22001612560982
Bacteria,Balneolaeota,16,22001612560982
Bacteria,Gemmatimonadetes,69,22001612560982
Bacteria,Fibrobacteres,62,22001612560982
Bacteria,Candidatus Cloacimonetes,16,22001612560982
Bacteria,Proteobacteria,34127,22001612560982
Bacteria,Planctomycetes,1054,22001612560982
Bacteria,Verrucomicrobia,663,22001612560982
Bacteria,Lentisphaerae,508,22001612560982
Bacteria,Chlamydiae,49,22001612560982
Bacteria,Kiritimatiellaeota,36,22001612560982
Bacteria,Spirochaetes,885,22001612560982
Bacteria,Fusobacteria,665,22001612560982
Bacteria,Acidobacteria,241,22001612560982
Bacteria,Synergistetes,243,22001612560982
Bacteria,Thermotogae,205,22001612560982
Bacteria,Nitrospirae,104,22001612560982
Bacteria,Aquificae,97,22001612560982
Bacteria,Deferribacteres,67,22001612560982
Bacteria,Thermodesulfobacteria,37,22001612560982
Bacteria,Elusimicrobia,32,22001612560982
Bacteria,Candidatus Saccharibacteria,20,22001612560982
Bacteria,Candidatus Gracilibacteria,11,22001612560982
Bacteria,Calditrichaeota,28,22001612560982
Bacteria,Chrysiogenetes,22,22001612560982
Bacteria,Dictyoglomi,14,22001612560982
Bacteria,Caldiserica,11,22001612560982
Archaea,Crenarchaeota,77,22001612560982
Archaea,Thaumarchaeota,13875,22001612560982
Archaea,Euryarchaeota,1058,22001612560982
Metazoa,Chordata,2234,22001612560982
Bacteria,Firmicutes,559540,22001612560154
Bacteria,Actinobacteria,42320,22001612560154
Bacteria,Cyanobacteria,1628,22001612560154
Bacteria,Tenericutes,898,22001612560154
Bacteria,Deinococcus-Thermus,782,22001612560154
Bacteria,Chloroflexi,576,22001612560154
Bacteria,Armatimonadetes,90,22001612560154
Bacteria,Bacteroidetes,510290,22001612560154
Bacteria,Chlorobi,360,22001612560154
Bacteria,Ignavibacteriae,84,22001612560154
Bacteria,Balneolaeota,59,22001612560154
Bacteria,Gemmatimonadetes,101,22001612560154
Bacteria,Fibrobacteres,75,22001612560154
Bacteria,Proteobacteria,66736,22001612560154
Bacteria,Verrucomicrobia,2134,22001612560154
Bacteria,Planctomycetes,1839,22001612560154
Bacteria,Lentisphaerae,1035,22001612560154
Bacteria,Chlamydiae,68,22001612560154
Bacteria,Kiritimatiellaeota,49,22001612560154
Bacteria,Synergistetes,1854,22001612560154
Bacteria,Spirochaetes,1298,22001612560154
Bacteria,Fusobacteria,753,22001612560154
Bacteria,Acidobacteria,393,22001612560154
Bacteria,Thermotogae,272,22001612560154
Bacteria,Elusimicrobia,139,22001612560154
Bacteria,Nitrospirae,129,22001612560154
Bacteria,Deferribacteres,126,22001612560154
Bacteria,Aquificae,114,22001612560154
Bacteria,Candidatus Saccharibacteria,57,22001612560154
Bacteria,Thermodesulfobacteria,32,22001612560154
Bacteria,Chrysiogenetes,30,22001612560154
Bacteria,Dictyoglomi,26,22001612560154
Bacteria,Calditrichaeota,24,22001612560154
Bacteria,Caldiserica,11,22001612560154
Archaea,Euryarchaeota,2966,22001612560154
Archaea,Crenarchaeota,97,22001612560154
Archaea,Thaumarchaeota,84,22001612560154
Metazoa,Chordata,3108,22001612560154
Bacteria,Bacteroidetes,1471769,22001612561810
Bacteria,Chlorobi,287,22001612561810
Bacteria,Ignavibacteriae,34,22001612561810
Bacteria,Balneolaeota,16,22001612561810
Bacteria,Gemmatimonadetes,91,22001612561810
Bacteria,Fibrobacteres,64,22001612561810
Bacteria,Firmicutes,463896,22001612561810
Bacteria,Actinobacteria,34967,22001612561810
Bacteria,Cyanobacteria,1247,22001612561810
Bacteria,Deinococcus-Thermus,808,22001612561810
Bacteria,Chloroflexi,508,22001612561810
Bacteria,Tenericutes,402,22001612561810
Bacteria,Armatimonadetes,62,22001612561810
Bacteria,Proteobacteria,42267,22001612561810
Bacteria,Planctomycetes,1440,22001612561810
Bacteria,Verrucomicrobia,840,22001612561810
Bacteria,Lentisphaerae,85,22001612561810
Bacteria,Chlamydiae,53,22001612561810
Bacteria,Kiritimatiellaeota,41,22001612561810
Bacteria,Spirochaetes,1030,22001612561810
Bacteria,Fusobacteria,535,22001612561810
Bacteria,Acidobacteria,352,22001612561810
Bacteria,Synergistetes,284,22001612561810
Bacteria,Thermotogae,166,22001612561810
Bacteria,Deferribacteres,75,22001612561810
Bacteria,Candidatus Saccharibacteria,70,22001612561810
Bacteria,Aquificae,66,22001612561810
Bacteria,Nitrospirae,62,22001612561810
Bacteria,Elusimicrobia,25,22001612561810
Bacteria,Dictyoglomi,20,22001612561810
Bacteria,Calditrichaeota,19,22001612561810
Bacteria,Chrysiogenetes,14,22001612561810
Bacteria,Thermodesulfobacteria,10,22001612561810
Metazoa,Chordata,4143,22001612561810
Archaea,Euryarchaeota,1171,22001612561810
Archaea,Crenarchaeota,93,22001612561810
Archaea,Thaumarchaeota,28,22001612561810
Bacteria,Bacteroidetes,2046896,22001612561219
Bacteria,Chlorobi,70,22001612561219
Bacteria,Ignavibacteriae,20,22001612561219
Bacteria,Fibrobacteres,25,22001612561219
Bacteria,Gemmatimonadetes,11,22001612561219
Bacteria,Firmicutes,270021,22001612561219
Bacteria,Actinobacteria,7572,22001612561219
Bacteria,Cyanobacteria,373,22001612561219
Bacteria,Tenericutes,168,22001612561219
Bacteria,Deinococcus-Thermus,121,22001612561219
Bacteria,Chloroflexi,77,22001612561219
Bacteria,Proteobacteria,59213,22001612561219
Bacteria,Planctomycetes,368,22001612561219
Bacteria,Verrucomicrobia,169,22001612561219
Bacteria,Chlamydiae,21,22001612561219
Bacteria,Lentisphaerae,18,22001612561219
Bacteria,Spirochaetes,317,22001612561219
Bacteria,Fusobacteria,242,22001612561219
Bacteria,Thermotogae,83,22001612561219
Bacteria,Acidobacteria,64,22001612561219
Bacteria,Nitrospirae,48,22001612561219
Bacteria,Aquificae,35,22001612561219
Bacteria,Synergistetes,33,22001612561219
Bacteria,Thermodesulfobacteria,15,22001612561219
Bacteria,Deferribacteres,12,22001612561219
Metazoa,Chordata,1604,22001612561219
Archaea,Euryarchaeota,375,22001612561219
Archaea,Crenarchaeota,24,22001612561219
Archaea,Thaumarchaeota,11,22001612561219
Bacteria,Bacteroidetes,845726,22001612560908
Bacteria,Chlorobi,161,22001612560908
Bacteria,Ignavibacteriae,38,22001612560908
Bacteria,Balneolaeota,14,22001612560908
Bacteria,Gemmatimonadetes,50,22001612560908
Bacteria,Fibrobacteres,29,22001612560908
Bacteria,Candidatus Cloacimonetes,15,22001612560908
Bacteria,Firmicutes,635568,22001612560908
Bacteria,Actinobacteria,20117,22001612560908
Bacteria,Cyanobacteria,849,22001612560908
Bacteria,Tenericutes,333,22001612560908
Bacteria,Deinococcus-Thermus,254,22001612560908
Bacteria,Chloroflexi,233,22001612560908
Bacteria,Armatimonadetes,25,22001612560908
Bacteria,Verrucomicrobia,437269,22001612560908
Bacteria,Planctomycetes,623,22001612560908
Bacteria,Chlamydiae,38,22001612560908
Bacteria,Lentisphaerae,36,22001612560908
Bacteria,Proteobacteria,21920,22001612560908
Bacteria,Spirochaetes,652,22001612560908
Bacteria,Fusobacteria,449,22001612560908
Bacteria,Thermotogae,140,22001612560908
Bacteria,Acidobacteria,126,22001612560908
Bacteria,Synergistetes,122,22001612560908
Bacteria,Aquificae,52,22001612560908
Bacteria,Nitrospirae,49,22001612560908
Bacteria,Deferribacteres,42,22001612560908
Bacteria,Candidatus Saccharibacteria,40,22001612560908
Bacteria,Elusimicrobia,33,22001612560908
Bacteria,Thermodesulfobacteria,25,22001612560908
Bacteria,Calditrichaeota,17,22001612560908
Bacteria,Chrysiogenetes,14,22001612560908
Bacteria,Dictyoglomi,11,22001612560908
Archaea,Crenarchaeota,77,22001612560908
Archaea,Thaumarchaeota,25169,22001612560908
Archaea,Euryarchaeota,618,22001612560908
Metazoa,Chordata,1901,22001612560908
Bacteria,Actinobacteria,808621,22001612562123
Bacteria,Firmicutes,411128,22001612562123
Bacteria,Cyanobacteria,660,22001612562123
Bacteria,Tenericutes,313,22001612562123
Bacteria,Deinococcus-Thermus,166,22001612562123
Bacteria,Chloroflexi,118,22001612562123
Bacteria,Armatimonadetes,30,22001612562123
Bacteria,Verrucomicrobia,275722,22001612562123
Bacteria,Planctomycetes,466,22001612562123
Bacteria,Chlamydiae,35,22001612562123
Bacteria,Lentisphaerae,27,22001612562123
Bacteria,Kiritimatiellaeota,13,22001612562123
Bacteria,Proteobacteria,15037,22001612562123
Bacteria,Bacteroidetes,5216,22001612562123
Bacteria,Chlorobi,63,22001612562123
Bacteria,Ignavibacteriae,10,22001612562123
Bacteria,Gemmatimonadetes,21,22001612562123
Bacteria,Fibrobacteres,13,22001612562123
Bacteria,Candidatus Cloacimonetes,12,22001612562123
Bacteria,Spirochaetes,449,22001612562123
Bacteria,Fusobacteria,445,22001612562123
Bacteria,Thermotogae,140,22001612562123
Bacteria,Acidobacteria,70,22001612562123
Bacteria,Synergistetes,62,22001612562123
Bacteria,Aquificae,49,22001612562123
Bacteria,Nitrospirae,36,22001612562123
Bacteria,Deferribacteres,32,22001612562123
Bacteria,Elusimicrobia,30,22001612562123
Bacteria,Thermodesulfobacteria,23,22001612562123
Bacteria,Candidatus Saccharibacteria,17,22001612562123
Bacteria,Dictyoglomi,17,22001612562123
Bacteria,Caldiserica,11,22001612562123
Archaea,Euryarchaeota,149237,22001612562123
Archaea,Crenarchaeota,35,22001612562123
Archaea,Thaumarchaeota,30,22001612562123
Metazoa,Chordata,1259,22001612562123
Bacteria,Firmicutes,649965,22001612562589
Bacteria,Actinobacteria,46399,22001612562589
Bacteria,Cyanobacteria,1037,22001612562589
Bacteria,Deinococcus-Thermus,465,22001612562589
Bacteria,Chloroflexi,406,22001612562589
Bacteria,Tenericutes,316,22001612562589
Bacteria,Armatimonadetes,45,22001612562589
Bacteria,Bacteroidetes,418603,22001612562589
Bacteria,Chlorobi,302,22001612562589
Bacteria,Ignavibacteriae,38,22001612562589
Bacteria,Balneolaeota,18,22001612562589
Bacteria,Fibrobacteres,54,22001612562589
Bacteria,Gemmatimonadetes,33,22001612562589
Bacteria,Candidatus Cloacimonetes,16,22001612562589
Bacteria,Proteobacteria,46885,22001612562589
Bacteria,Verrucomicrobia,2799,22001612562589
Bacteria,Planctomycetes,1179,22001612562589
Bacteria,Chlamydiae,76,22001612562589
Bacteria,Lentisphaerae,58,22001612562589
Bacteria,Kiritimatiellaeota,21,22001612562589
Bacteria,Spirochaetes,865,22001612562589
Bacteria,Fusobacteria,484,22001612562589
Bacteria,Acidobacteria,212,22001612562589
Bacteria,Thermotogae,166,22001612562589
Bacteria,Synergistetes,139,22001612562589
Bacteria,Nitrospirae,102,22001612562589
Bacteria,Deferribacteres,91,22001612562589
Bacteria,Aquificae,72,22001612562589
Bacteria,Calditrichaeota,39,22001612562589
Bacteria,Candidatus Saccharibacteria,29,22001612562589
Bacteria,Caldiserica,19,22001612562589
Bacteria,Elusimicrobia,18,22001612562589
Bacteria,Dictyoglomi,15,22001612562589
Bacteria,Thermodesulfobacteria,12,22001612562589
Metazoa,Chordata,2675,22001612562589
Archaea,Euryarchaeota,1071,22001612562589
Archaea,Crenarchaeota,106,22001612562589
Archaea,Thaumarchaeota,22,22001612562589
Bacteria,Bacteroidetes,1622041,22001612560976
Bacteria,Chlorobi,58,22001612560976
Bacteria,Ignavibacteriae,41,22001612560976
Bacteria,Balneolaeota,10,22001612560976
Bacteria,Fibrobacteres,39,22001612560976
Bacteria,Firmicutes,520294,22001612560976
Bacteria,Actinobacteria,50095,22001612560976
Bacteria,Cyanobacteria,519,22001612560976
Bacteria,Tenericutes,249,22001612560976
Bacteria,Chloroflexi,116,22001612560976
Bacteria,Deinococcus-Thermus,59,22001612560976
Bacteria,Armatimonadetes,15,22001612560976
Bacteria,Proteobacteria,12078,22001612560976
Bacteria,Planctomycetes,330,22001612560976
Bacteria,Verrucomicrobia,128,22001612560976
Bacteria,Chlamydiae,30,22001612560976
Bacteria,Spirochaetes,379,22001612560976
Bacteria,Fusobacteria,347,22001612560976
Bacteria,Thermotogae,91,22001612560976
Bacteria,Aquificae,57,22001612560976
Bacteria,Acidobacteria,56,22001612560976
Bacteria,Nitrospirae,38,22001612560976
Bacteria,Synergistetes,30,22001612560976
Bacteria,Deferribacteres,27,22001612560976
Bacteria,Candidatus Saccharibacteria,16,22001612560976
Bacteria,Candidatus Gracilibacteria,10,22001612560976
Bacteria,Thermodesulfobacteria,22,22001612560976
Bacteria,Elusimicrobia,12,22001612560976
Metazoa,Chordata,1681,22001612560976
Archaea,Euryarchaeota,327,22001612560976
Archaea,Crenarchaeota,25,22001612560976
Archaea,Thaumarchaeota,72,22001612560976
